"","Kode_HS","Uraian","Md","Mdi","Xd","Xdi","RCA","RSCA","TBI","Status"
"100","56031200","Non woven of m-m-f, not imprgnated, covred/lminated, 25g/m<weight<70g/m","39632942497","63038293","31781070069.0587","6408370.511","-0.686060839076925","-5.37066109917412","-0.815444826662264","4"
"101","73041900","Oth.tube,pipe&hollow profile,seamless, line pipe of a kind use for oil/gas pipe","39632942497","62565961","31781070069.0587","3254.788","-0.779725225064795","-8.07956891835802","-0.999895962001153","4"
"102","54076110","Oth woven fabrics,cont>=85% of by weight ofnontextured polyst filamnt:bleached&no","39632942497","62056763","31781070069.0587","127142.18","-0.771453444786005","-7.75095228684302","-0.995910768883621","4"
"103","87120030","Other bicycles","39632942497","60214792","31781070069.0587","184406.353","-0.747606456616098","-6.92413297577072","-0.993893748326849","4"
"104","8052100","Mandarin,clementines,wilkings&similar citrus hybrids, fresh/dried","39632942497","60205151","31781070069.0587","0","-0.750352424605284","-7.01129350780922","-1","4"
"105","84748010","Mach for agglomerating,shaping/mauld solid mineral fuels,electric operated","39632942497","59355635","31781070069.0587","0","-0.739764686185012","-6.6853520403533","-1","4"
"106","69021000","Goods of siliceous cont by weight, singly/together mg,ca,cr > 50%","39632942497","59282822","31781070069.0587","0","-0.73885719886565","-6.65864496862412","-1","4"
"107","87149199","Other parts for forks","39632942497","58815227","31781070069.0587","35829.892","-0.732472556748111","-6.47586855273352","-0.998782353490584","4"
"108","87149991","Oth handle,bars,pillars or parts and accessories","39632942497","58743736","31781070069.0587","87368.479","-0.730780510015265","-6.42888265672519","-0.99702985419792","4"
"109","39072090","Oth polytetramethylene ether glycol","39632942497","58650867","31781070069.0587","239094.622","-0.727264863773387","-6.33312189866954","-0.991879953207146","4"
"110","64029990","Oth footwear not cover the ankle & not incorp protct mtal toe-cap, rubber/plstc","39632942497","58620008","31781070069.0587","25189131.81","-0.339095587897433","-2.02615622376813","-0.398892964010723","4"
"111","48191000","Cartons,boxes & cases, of corrugated paper or paperboard","39632942497","58180551","31781070069.0587","55695.63","-0.724253662801689","-6.25304285206749","-0.998087252073305","4"
"112","69072193","Paving,hearth/wall tiles of plain tiles, rectangle,circle>7cm,glazed","39632942497","57932735","31781070069.0587","0","-0.722030714137157","-6.1950395303273","-1","4"
"113","69072193","Paving,hearth/wall tile of oth thn plain tile,rectang,crcle>7cm,glazed","39632942497","57932735","31781070069.0587","0","-0.722030714137157","-6.1950395303273","-1","4"
"114","84749010","Parts of mach for sort,creen,separate, wash,crush,grinding&mixing,elect oprtd","39632942497","55678852","31781070069.0587","251583.784","-0.690029757211308","-5.45223225947986","-0.991003689476992","4"
"115","74111000","Copper tubes & pipes of refined copper","39632942497","54853390","31781070069.0587","58.848","-0.683651123442218","-5.32213403683352","-0.999997854355515","4"
"116","84198913","Machinery by a proces involving heat for manufacture of PCB/PWB's/PCA's elect op","39632942497","54738320","31781070069.0587","0","-0.682217890805056","-5.29362050955832","-1","4"
"117","84715010","Process units for personal & portab comp ,other automatic data processing machine","39632942497","54417457","31781070069.0587","1811.614","-0.678190735030768","-5.21486146519498","-0.999933420126873","4"
"118","84729010","Automatic teller machines","39632942497","54198253","31781070069.0587","0","-0.675486895596701","-5.16307931131938","-1","4"
"119","29319021","N-(phosphonomethyl) glycine and salts thereof","39632942497","54078849","31781070069.0587","0","-0.673998732550526","-5.13494547321039","-1","4"
"120","90189090","Other instruments and appliances, used in medical","39632942497","53947211","31781070069.0587","697303.375","-0.661520292077849","-4.90877371136231","-0.974478558992592","4"
"121","95069100","Artic and equip for general physics exercise, gymnastics or athletics","39632942497","53802339","31781070069.0587","15735.032","-0.670307955718638","-5.06626709588777","-0.999415251018063","4"
"122","32041190","Disperse dyes & preparations based there on, oth than crude","39632942497","53769001","31781070069.0587","2839925.615","-0.625997618418532","-4.34755953035113","-0.899665095778464","4"
"123","85094000","Food grinder&mixer,fruit/vegetable juice extract with self-contained elect motor","39632942497","53761244","31781070069.0587","100675.754","-0.668475591255312","-5.03273830597563","-0.996261709405836","4"
"124","60041010","Knitted/croch. fabrics,5%<elastomeric_20 0%,width>30cm,not rubber thread,not 6001","39632942497","53618861","31781070069.0587","56072.95","-0.667394271758808","-5.01312554229276","-0.997910646707","4"
"125","42022200","Hand bag with outer surface of plastic sheeting or of textile materials","39632942497","53607076","31781070069.0587","469838.855","-0.660816456907528","-4.89651249516767","-0.982623311397856","4"
"126","85340090","Other printed circuits","39632942497","53485068","31781070069.0587","615498.638","-0.657031929833798","-4.83144663883959","-0.977246129708088","4"
"127","64041900","Oth sports footwear for oth purpossed with outer soles of rubber/plastics","39632942497","52860479","31781070069.0587","84590620.042","0.655931498439358","-0.207779429212447","0.230846761234731","3"
"128","84295100","Front-end shovel loaders","39632942497","51704002","31781070069.0587","884073.88","-0.630659725046268","-4.41506067880234","-0.966377401522833","4"
"129","54076990","Oth woven fabrics,cont>=85% of by weight of polyst filamnt: other","39632942497","51503087","31781070069.0587","434.37","-0.641889590970237","-4.58486977638725","-0.999983132415476","4"
"130","24012030","Oriental tobacco, partly or wholly stemmed/stripped","39632942497","51255342","31781070069.0587","0","-0.638808631900501","-4.5372308882228","-1","4"
"131","84042000","Condensers for steam or other vapour power units","39632942497","50852794","31781070069.0587","31.244","-0.633791086077237","-4.46136351127111","-0.999998771199049","4"
"132","85299054","Oth printed circuit board, assembled, for TV receivers","39632942497","50799086","31781070069.0587","924.5","-0.633107825946513","-4.45119286111682","-0.999963602369728","4"
"133","94039090","Parts of other furniture","39632942497","50376635","31781070069.0587","3484220.222","-0.573703764536981","-3.69157321510877","-0.8706214296955","4"
"134","56039200","Non woven of oth m-m-f, 25g/m2<weighing=<70g/m2","39632942497","50267602","31781070069.0587","192721.842","-0.623502802553236","-4.31212453522393","-0.992361450449528","4"
"135","84185019","Oth Refri chambers, capcty>200 l of kind suitable for medical,surgical/laboratory","39632942497","50213024","31781070069.0587","0","-0.625817952107841","-4.34499185962125","-1","4"
"136","85372090","Oth board for elect. control for voltage > 1000 volt","39632942497","49964893","31781070069.0587","7162581.483","-0.511401376048288","-3.09333940366901","-0.749242144946161","4"
"137","85353090","Isolating switch&make-and-break switch for a voltage of < 66 KV","39632942497","49756272","31781070069.0587","371.863","-0.620119553709306","-4.26481428441187","-0.999985052729801","4"
"138","72283010","Oth bars&rods,of silico-manganese steel of circular cross-section","39632942497","49604518","31781070069.0587","0","-0.6182339838775","-4.23881098771832","-1","4"
"139","38013000","Carbonaceous pastes for electrodes & similar paste & for furnace linings","39632942497","49520640","31781070069.0587","0","-0.617188590590952","-4.2245046799609","-1","4"
"140","39076100","Poly(ethylene terephthalate) in oth form","39632942497","49510544","31781070069.0587","1014023.4","-0.601302354884129","-4.01633261319804","-0.959860184770231","4"
"141","84213190","Oth intake air filters for internal combustion engines","39632942497","49389007","31781070069.0587","1223700","-0.59652871991383","-3.95698231500606","-0.951644554400143","4"
"142","84281031","Passenger lifts","39632942497","49191249","31781070069.0587","0","-0.61308330505661","-4.16907134310299","-1","4"
"143","39239090","Oth articles for the conveyance/packing goods of plastics","39632942497","49119872","31781070069.0587","345403.477","-0.606825299168503","-4.08679728316788","-0.986034507089297","4"
"144","84672900","Oth tool for working in the hand, with self-contained electric motor","39632942497","49114501","31781070069.0587","175857.067","-0.60939352537485","-4.12024282730931","-0.992864443518103","4"
"145","85166010","Rice cookers","39632942497","48902280","31781070069.0587","51.2","-0.609481013627397","-4.12138991903394","-0.999997906030296","4"
"146","38170000","Mixed alkylbenzenes & mixed alkyl naphthalanes oth than head 2707 or 2902","39632942497","48011624","31781070069.0587","2934446.529","-0.552772847948636","-3.47200039359484","-0.884801850328","4"
"147","84743910","Other mixing/kneading machines electrically operated","39632942497","47849905","31781070069.0587","0","-0.596365786606573","-3.95498135102481","-1","4"
"148","84022010","Electric super heated water boilers electrically operated","39632942497","47148319","31781070069.0587","0","-0.587621738175084","-3.84991616956071","-1","4"
"149","17023010","Glucose,no fructose or in dry state w/ fructose<20%","39632942497","46950024","31781070069.0587","435.74","-0.585143563651275","-3.82094484926544","-0.999981438307424","4"
"150","94069090","Oth prefabricated buildings oth of wood, iron, plastics, aluminium, concrete","39632942497","46899672","31781070069.0587","0","-0.584522786071786","-3.81374172386156","-1","4"
"151","85285200","Projection type flat panel display unit used in automatic data processing system","39632942497","46833114","31781070069.0587","0","-0.583693256441059","-3.80414989894786","-1","4"
"152","85285200","Oth projection type flat panel display units, B/W","39632942497","46833114","31781070069.0587","0","-0.583693256441059","-3.80414989894786","-1","4"
"153","85285200","Oth projection type flat panel display units, color","39632942497","46833114","31781070069.0587","0","-0.583693256441059","-3.80414989894786","-1","4"
